"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000197444",4475.26872511463,0.786375835841189,0.244158454834387,3.22076020826143,0.00127851071768206,0.0244307521441931,"OGDHL",55753
"ENSG00000108406",2368.18414875865,0.361769323971632,0.112328785833321,3.22062881110853,0.00127909697090016,0.0244307521441931,"DHX40",79665
"ENSG00000108849",15.2090369042657,4.9071129578193,1.52389336264298,3.22011571026767,0.00128138864454107,0.0244578850936638,"PPY",5539
"ENSG00000229715",13.4496169525288,-1.33158060895124,0.413632676243905,-3.21923456590275,0.00128533296399263,0.0244895076428026,"EEF1DP3",NA
"ENSG00000189042",493.627379900783,-0.38569188101771,0.119811299408106,-3.21916115527594,0.00128566208161452,0.0244895076428026,"ZNF567",163081
"ENSG00000124334",18.548004001044,-1.55783771395811,0.483897805788818,-3.2193527131594,0.00128480344451615,0.0244895076428026,"IL9R",3581
"ENSG00000198055",1696.76968509422,-0.847226258064948,0.263212976024027,-3.21878606010522,0.00128734493860914,0.024504938197511,"GRK6",2870
"ENSG00000128604",624.831100734376,-1.39900931372172,0.434668916571535,-3.21856304968032,0.0012883464339665,0.0245073867388059,"IRF5",3663
"ENSG00000109689",2059.62397821297,-0.421693177764679,0.131030455306058,-3.2182836942732,0.00128960197804699,0.0245146612983246,"STIM2",57620
"ENSG00000129354",2897.94757269879,0.701516546138183,0.2179975462964,3.21800202826305,0.00129086905032765,0.0245221450108588,"AP1M2",10053
"ENSG00000169515",1360.95517475256,0.646641332721077,0.200978712074286,3.21746181994671,0.00129330238894151,0.0245517587385469,"CCDC8",83987
"ENSG00000256448",5.06163522543394,-2.13460180191452,0.663528317911618,-3.21704702616603,0.00129517367735682,0.0245687271965371,"RP11-809N8.4",NA
"ENSG00000197361",51.525971556231,0.889442829126046,0.276492737381729,3.2168759206795,0.00129594632539344,0.0245687271965371,"FBXL22",283807
"ENSG00000101856",4805.64431214474,0.687186633621262,0.21367112650293,3.21609496270354,0.00129947824290176,0.0246190625006428,"PGRMC1",10857
"ENSG00000109180",6039.87002306719,0.421960047078005,0.131265364742791,3.21455738080505,0.00130645800363601,0.0247196919689289,"OCIAD1",54940
"ENSG00000242574",3056.84509279147,-1.12157434082424,0.348906960379878,-3.21453702042259,0.00130655066003813,0.0247196919689289,"HLA-DMB",3109
"ENSG00000232027",6.52672384385664,-1.99679266769281,0.621412696375897,-3.21331166765369,0.00131213819625983,0.0248086896541328,"RP11-275F13.3",NA
"ENSG00000158485",7.40044617932434,-3.87145006133676,1.20489172537231,-3.21311033996892,0.00131305834498768,0.0248093803177787,"CD1B",910
"ENSG00000174498",121.271349039053,1.48642671877412,0.462669901066835,3.21271540540391,0.00131486508520595,0.024826810354625,"IGDCC3",9543
"ENSG00000181218",52.6844570110506,-1.3576418238808,0.422627526744829,-3.21238380835639,0.00131638384142236,0.0248366593055147,"HIST3H2A",92815
"ENSG00000211794",9.71284753183826,-2.93908894292054,0.91497256404836,-3.21221538044412,0.00131715588224922,0.0248366593055147,"TRAV12-3",NA
"ENSG00000172197",1629.49778801203,-0.585511697853661,0.182294594601343,-3.21189829645858,0.00131861046748268,0.0248474000641015,"MBOAT1",154141
"ENSG00000173226",1317.74063933905,-0.36773680433467,0.114512895942451,-3.21131346219274,0.00132129721435032,0.0248813292336109,"IQCB1",9657
"ENSG00000244038",10137.2928817001,0.52777192510785,0.164401901112187,3.21025439205659,0.00132617547601981,0.0249397380041581,"DDOST",1650
"ENSG00000112137",138.535450953452,-0.8582197887797,0.267329965611511,-3.21033890389558,0.00132578559045362,0.0249397380041581,"PHACTR1",221692
"ENSG00000089094",1892.00754132359,-0.525888621049724,0.163856952349221,-3.20943733854466,0.00132995031700024,0.0249939859775206,"KDM2B",102465665
"ENSG00000225963",215.08502445644,-1.18264208730809,0.368543936680941,-3.20895819901098,0.00133216858216657,0.0250189279474855,"AC009950.2",NA
"ENSG00000120949",43.0959717336061,-1.54942137387359,0.482945213257088,-3.20827566221011,0.00133533440806957,0.0250616204380811,"TNFRSF8",943
"ENSG00000254484",1.93195180533082,-2.23787433601913,0.697693440191023,-3.20753243058501,0.00133878964978198,0.0251096840326845,"CTA-797E19.1",NA
"ENSG00000235576",30.4191720614205,-1.98646230288704,0.619349246569787,-3.20733788551273,0.0013396954399393,0.0251098991102642,"AC092580.4",NA
"ENSG00000248099",25.3786143001348,-2.13877117093798,0.666912835223891,-3.20697257269005,0.001341397842292,0.0251250348352452,"INSL3",3640
"ENSG00000100558",1095.11210002854,0.673206809450642,0.20994183647177,3.20663485070145,0.00134297344316613,0.0251377769091836,"PLEK2",26499
"ENSG00000248663",47.098659257565,0.855051408027155,0.26668362447838,3.20623888961909,0.00134482292578848,0.0251556251081701,"LINC00992",NA
"ENSG00000272065",29.969027319645,-1.00221046465784,0.312608752964729,-3.20595778318119,0.00134613736324814,0.0251634479014101,NA,NA
"ENSG00000182010",300.910446117664,-1.81621135742581,0.566636955012752,-3.20524692461144,0.0013494665868015,0.0251991131465013,"RTKN2",219790
"ENSG00000236154",3.61736517663198,-3.32175514305919,1.03637498612451,-3.20516722955732,0.001349840302466,0.0251991131465013,"RP11-343J3.2",NA
"ENSG00000177628",2293.47216830361,0.459973340875773,0.143549244843485,3.2042895201385,0.00135396248410581,0.025259272203481,"GBA",2629
"ENSG00000232040",136.059697770681,0.693633242169245,0.216505527551738,3.20376689691439,0.00135642250824838,0.0252715824579229,"ZBED9",114821
"ENSG00000139190",4527.48957454851,-0.607575817571954,0.18964201266781,-3.20380388830942,0.00135624825166591,0.0252715824579229,"VAMP1",6843
"ENSG00000272016",147.098536022014,-1.20856323407418,0.377279409148278,-3.20336388567443,0.00135832232522637,0.0252901962369899,NA,NA
"ENSG00000211767",3.49488150242521,-2.81654799976636,0.879375625569983,-3.2028952336958,0.00136053466281117,0.0253115490868666,"TRBJ2-3",NA
"ENSG00000110660",661.495390372696,-0.565626926595272,0.176607241160561,-3.20273915655043,0.0013612721843918,0.0253115490868666,"SLC35F2",54733
"ENSG00000188403",5.48770288485231,-5.10199486731595,1.59322653101877,-3.20230348163581,0.00136333285955348,0.025333088482914,"IGHV1OR15-9",NA
"ENSG00000104341",2809.73153221263,0.613557173107679,0.1916414002051,3.20158990933604,0.00136671416305409,0.0253640092143898,"LAPTM4B",55353
